日期,小时,区域,停车场ID,停车场名称,总车位数,入场车次,出场车次,累计在场(近似)
2026-06-15,0,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,0,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,0,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,1,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,1,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,1,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,2,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,2,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,2,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,3,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,3,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,3,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,4,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,4,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,4,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,5,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,5,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,5,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,6,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,6,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,6,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,7,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,7,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,7,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,8,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,8,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,8,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,9,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,9,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,9,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,10,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,10,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,10,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,11,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,11,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,11,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,12,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,12,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,12,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,13,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,13,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,13,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,14,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,14,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,14,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,15,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,15,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,15,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,16,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,16,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,16,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,17,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,17,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,17,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,18,城关区,1,市民中心地下停车场,6,0,0,0
